Location,Total_Violations,Avg_Severity
UNKNOWN,474,2.96529284164859
"-19.3536,53.6802",1,2.0
"-4.1464,-75.0475",1,4.0
"-73.1393,171.2161",1,1.0
"-31.8585,135.2265",1,1.0
"-42.9538,-91.6205",1,5.0
"-50.3679,112.9594",1,4.0
"-79.0489,13.6399",1,1.0
"62.6177,20.5607",1,2.0
"-30.8499,-82.7666",1,4.0
"50.1237,-20.6073",1,1.0
"68.8072,162.8141",1,4.0
"-23.4373,172.4949",1,4.0
"9.8049,-28.0061",1,4.0
"8.6643,-70.9907",1,1.0
"20.9105,94.2989",1,2.0
"-28.0497,98.5959",1,5.0
"39.3255,130.3193",1,4.0
"6.9213,-48.5153",1,1.0
"-65.5980,-71.2767",1,3.0
"70.9163,157.5616",1,1.0
"3.2779,-139.8984",1,2.0
"87.6718,114.9752",1,3.0
"54.9349,25.9050",1,5.0
"32.7650,-68.9044",1,5.0
"-0.0961,176.7062",1,5.0
"-12.4310,9.3888",1,3.0
"6.9018,-133.6645",1,1.0
"-0.8486,-48.9660",1,5.0
"10.9776,-16.2056",1,4.0
"-59.6987,-24.5271",1,1.0
"-15.5454,41.4588",1,5.0
"-39.9899,-21.5041",1,
"-49.6722,-28.4917",1,1.0
"88.7463,-63.8419",1,3.0
"-27.6504,163.4839",1,1.0
"84.3379,21.3918",1,
"-68.9667,113.2931",1,5.0
"86.7462,-109.1195",1,4.0
"49.5279,175.9444",1,1.0
"40.3504,28.0547",1,3.0
"-57.1147,7.5095",1,5.0
"-42.9857,-148.6012",1,4.0
"-34.6685,12.1521",1,5.0
"37.3900,-40.3824",1,5.0
"-75.8342,71.7029",1,
"-84.7699,-126.4362",1,2.0
"-76.5622,5.3795",1,2.0
"-78.5520,-130.8135",1,2.0
"14.4519,-5.2809",1,4.0
"-84.8712,-54.0387",1,4.0
"21.3702,-108.0209",1,5.0
"-34.3865,-61.8103",1,4.0
"-49.1856,70.7102",1,2.0
"-76.0292,-101.8283",1,4.0
"86.6102,0.9384",1,2.0
"-58.5933,-113.6463",1,4.0
"-67.8635,107.0776",1,3.0
"88.6833,-19.2802",1,2.0
"24.9739,20.9557",1,3.0
"31.5492,13.2628",1,5.0
"2.0095,22.4721",1,
"34.0225,-69.7615",1,2.0
"-5.0553,97.3769",1,3.0
"-26.9355,-114.3804",1,5.0
"-80.7955,-11.5450",1,2.0
"-53.3977,-56.4657",1,1.0
"25.0237,31.5225",1,3.0
"13.7548,177.4219",1,
"-76.4600,-111.3424",1,1.0
"-3.1942,102.5712",1,4.0
"-42.9766,-47.0436",1,2.0
"-86.0140,-61.6409",1,4.0
"-37.2142,-78.4082",1,4.0
"-60.7162,-37.0194",1,4.0
"50.6991,176.3429",1,3.0
"6.9828,136.5203",1,4.0
"85.9386,-42.4757",1,1.0
"-32.9743,-131.8973",1,3.0
"-30.1172,-42.0952",1,4.0
"50.2448,50.8234",1,4.0
"62.1245,-17.4933",1,2.0
"-13.2710,-139.0938",1,1.0
"-12.3157,72.7527",1,5.0
"62.0750,77.8100",1,1.0
"-41.4328,65.5520",1,
"-25.4360,-42.7641",1,3.0
"66.2245,81.6772",1,5.0
"-71.6192,-138.0825",1,
"2.8892,86.0572",1,1.0
"-33.5598,-121.7337",1,2.0
"-50.1626,57.0524",1,3.0
"-15.5966,-42.5958",1,3.0
"18.5077,136.2745",1,5.0
"4.2092,-45.7317",1,5.0
