Violation ID,Timestamp,Location,Violation Type,Vehicle Type,Severity
VIO-000001,2025-04-28 11:35:52,"-58.9524,29.6499",Red Light,Sedan,1
VIO-000002,2025-08-06 21:55:49,"34.6512,-156.7054",Red Light,Truck,3
VIO-000003,2025-08-03 15:17:37,"-75.2156,43.9461",Illegal Parking,Van,4
VIO-000004,2024/26/11 23:17:17,"-45.8370,44.6700",Illegal Parking,Motorcycle,4
VIO-000005,2025-01-10 17:13:28,"70.1858,-78.8504",No Signal,Bus,5
VIO-000006,2025-02-06 16:11:49,"-68.5609,140.3048",Illegal Turn,Bus,5
VIO-000007,2025-06-30 09:03:46,"-60.8404,2.0455",No Signal,Motorcycle,5
VIO-000008,2025-11-06 03:06:49,"-28.7708,135.6191",Speeding,Motorcycle,1
VIO-000009,2025-04-01 17:00:53,"55.0085,-142.0677",Red Light,Motorcycle,2
VIO-000010,2025-05-31 17:13:59,"61.1075,-57.4540",Speeding,Motorcycle,
VIO-000011,2024-12-20 01:23:21,"84.6286,-29.5042",No Signal,Motorcycle,1
VIO-000012,2024-12-23 10:09:48,"47.1288,-59.9795",Red Light,Van,5
VIO-000013,2025_07_25 23:20:03,"-81.1304,-52.8908",Red Light,Truck,3
VIO-000014,2025-02-10 00:39:14,"-37.6693,-175.9441",Red Light,Motorcycle,5
VIO-000015,2025-07-21 15:33:00,,Illegal Turn,Bus,5
VIO-000016,2025-07-06 22:45:24,"68.1055,-95.1654",Red Light,Motorcycle,
VIO-000017,2025-01-02 10:49:21,"-24.9201,143.2428",Red Light,Van,
VIO-000018,N/A,"-74.5441,30.6708",Speeding,Truck,
VIO-000019,2025-09-17 04:55:58,"-58.7806,39.7729",Illegal Parking,Bus,4
VIO-000020,2025-07-11 13:07:56,"-33.1967,162.9672",Illegal Turn,Sedan,HIGH
VIO-000021,2025-09-20 02:22:52,"-57.0194,59.9448",Illegal Turn,Van,
VIO-000022,2025-05-15 11:27:12,"-51.7794,-61.4669",No Signal,Van,2
VIO-000023,2024-12-28 03:12:33,"62.8312,18.4337",Red Light,Bus,5
VIO-000024,2025-10-20 10:28:28,"2.3276,-119.9904",Illegal Turn,Truck,2
VIO-000025,2025-03-27 15:04:06,"11.4311,167.2033",Red Light,Sedan,4
VIO-000026,2025-02-11 02:48:54,"73.5607,27.8034",Red Light,Motorcycle,3
VIO-000027,2025-06-10 04:21:11,"-14.6963,88.0098",No Signal,Bus,5
VIO-000028,2025-10-29 11:01:54,"-43.6255,154.9391",Illegal Turn,Bus,1
VIO-000029,2025-08-05 22:24:42,"-5.6460,172.2259",Illegal Turn,Van,5
VIO-000030,2025-06-27 16:58:34,"37.2759,80.9393",Speeding,Bus,1
VIO-000031,2025-03-16 07:43:23,"-85.9933,103.6994",Illegal Turn,Van,3
VIO-000032,2025-05-01 00:56:52,"29.5975,73.1398",Illegal Parking,Motorcycle,3
VIO-000033,2024-11-20 23:18:30,"-30.6139,110.6945",Illegal Turn,Truck,
VIO-000034,2025_09_19 16:22:38,"-11.6240,33.1899",Speeding,Van,3
