Violation ID,Timestamp,Location,Violation Type,Vehicle Type,Severity,Violation_Type_Code
VIO-000001,2025-02-02 17:53:38,"-46.7922,132.1738",ILLEGAL PARKING,Sedan,1.0,1
VIO-000002,2025-05-14 04:40:10,"33.1737,126.5812",NO SIGNAL,Van,4.0,2
VIO-000003,2025-05-11 17:07:49,"-23.6354,42.2104",SPEEDING,Motorcycle,5.0,3
VIO-000004,2025-07-23 08:39:27,"76.5502,129.6749",ILLEGAL PARKING,Truck,1.0,1
VIO-000005,2025-01-27 14:14:12,"69.5936,35.6873",ILLEGAL TURN,Van,4.0,4
VIO-000007,2025-05-24 05:07:00,"-51.3480,-140.6359",ILLEGAL PARKING,Van,4.0,1
VIO-000008,2024-12-07 01:46:16,"48.3228,34.8969",RED LIGHT,Sedan,5.0,5
VIO-000009,2025-02-16 22:48:36,"-30.7127,-68.7736",ILLEGAL TURN,Van,5.0,4
VIO-000010,2025-08-23 07:44:33,UNKNOWN,ILLEGAL PARKING,Van,4.0,1
VIO-000011,2025-04-01 19:08:07,"39.2890,106.0963",SPEEDING,Van,4.0,3
VIO-000012,2025-07-14 20:37:26,"-36.5779,80.8739",NO SIGNAL,Motorcycle,5.0,2
VIO-000013,2025-07-25 05:06:25,"38.8452,-110.3896",ILLEGAL PARKING,Sedan,3.0,1
VIO-000014,2025-08-27 09:57:45,"-19.3536,53.6802",NO SIGNAL,Van,2.0,2
VIO-000015,2025-06-10 15:05:01,"15.2857,-44.1608",SPEEDING,Bus,2.0,3
VIO-000017,2025-06-21 04:34:12,"-4.1464,-75.0475",ILLEGAL TURN,Truck,4.0,4
VIO-000018,2024-11-27 06:29:35,"1.7355,3.2237",ILLEGAL TURN,Truck,1.0,4
VIO-000019,2025-02-25 20:06:56,"-73.1393,171.2161",ILLEGAL PARKING,Sedan,1.0,1
VIO-000020,2026-10-30 11:00:00,"45.8287,5.3785",ILLEGAL TURN,Van,5.0,4
VIO-000021,2025-04-21 20:47:43,"-21.0690,-113.9948",SPEEDING,Motorcycle,3.0,3
VIO-000022,2024-11-23 01:36:54,"47.4256,47.3125",SPEEDING,Bus,1.0,3
VIO-000023,2025-08-17 16:40:48,"24.1662,-72.5594",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000025,2025-10-07 11:50:59,"12.8353,-9.5112",SPEEDING,Motorcycle,2.0,3
VIO-000026,2024-12-28 13:21:57,"39.0361,68.7679",ILLEGAL PARKING,Motorcycle,5.0,1
VIO-000027,2025-05-08 21:19:17,"-44.7602,-91.5546",RED LIGHT,Van,4.0,5
VIO-000028,2025-05-18 06:35:00,"57.1443,159.6019",NO SIGNAL,Truck,2.0,2
VIO-000029,2025-09-11 12:25:03,"-56.3688,132.0776",NO SIGNAL,Motorcycle,4.0,2
VIO-000030,2024-12-08 21:02:17,"-87.6703,-20.8770",RED LIGHT,Van,3.0,5
VIO-000031,2024-12-08 10:01:35,"60.6799,-89.5390",SPEEDING,Truck,3.0,3
VIO-000032,2025-08-26 11:41:17,"73.9295,-146.6720",ILLEGAL PARKING,Truck,4.0,1
VIO-000033,2025-04-01 18:36:44,"84.5343,167.6050",RED LIGHT,Bus,1.0,5
VIO-000034,2025-08-12 23:29:50,"67.3673,-2.2361",RED LIGHT,Truck,1.0,5
VIO-000035,2025-06-25 13:48:33,"53.4790,91.2781",ILLEGAL PARKING,Truck,5.0,1
VIO-000036,2025-08-31 07:27:02,"88.2960,-136.4770",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000037,2025-01-14 11:50:24,"16.6854,89.8425",NO SIGNAL,Sedan,2.0,2
VIO-000038,2025-06-24 06:42:15,"41.4985,-111.6016",NO SIGNAL,Bus,4.0,2
VIO-000040,2025-07-05 12:18:47,"-31.8585,135.2265",RED LIGHT,Sedan,1.0,5
VIO-000041,2025-01-06 20:14:40,"27.4603,38.8312",RED LIGHT,Bus,4.0,5
VIO-000043,2025-04-10 21:22:46,"41.0279,-136.0976",NO SIGNAL,Sedan,4.0,2
VIO-000044,2026-10-30 11:00:00,"-7.9553,-39.6431",NO SIGNAL,Motorcycle,2.0,2
VIO-000045,2025-09-04 03:31:14,"-81.7856,82.8544",ILLEGAL TURN,Motorcycle,2.0,4
